#URSI, topside IRI-corr, F2 storm model on
# Year, nday, UT, Lon, Lat, TEC(TECU), NmF2 (10^12 m-3)
2017 219  0.0  -40.0   72.5   4.57  0.161971
2017 219  0.0  -35.0   72.5   4.43  0.157692
2017 219  0.0  -30.0   72.5   4.30  0.153510
2017 219  0.0  -25.0   72.5   4.18  0.149473
2017 219  0.0  -20.0   72.5   4.06  0.145634
2017 219  0.0  -15.0   72.5   3.96  0.142041
2017 219  0.0  -10.0   72.5   3.87  0.138743
2017 219  0.0   -5.0   72.5   3.78  0.135787
2017 219  0.0    0.0   72.5   3.72  0.133211
2017 219  0.0    5.0   72.5   3.66  0.131051
2017 219  0.0   10.0   72.5   3.62  0.129340
2017 219  0.0   15.0   72.5   3.59  0.128127
2017 219  0.0   20.0   72.5   3.58  0.127401
2017 219  0.0   25.0   72.5   3.59  0.127177
2017 219  0.0   30.0   72.5   3.61  0.127470
2017 219  0.0   35.0   72.5   3.64  0.128287
2017 219  0.0   40.0   72.5   3.69  0.129620
2017 219  0.0   45.0   72.5   3.75  0.131469
2017 219  0.0   50.0   72.5   3.82  0.133822
2017 219  0.0   55.0   72.5   3.90  0.136654
2017 219  0.0   60.0   72.5   4.00  0.139928
2017 219  0.0   65.0   72.5   4.10  0.143603
2017 219  0.0   70.0   72.5   4.21  0.147621
2017 219  0.0   75.0   72.5   4.33  0.151911
2017 219  0.0   80.0   72.5   4.45  0.156396
2017 219  0.0   85.0   72.5   4.58  0.160989
2017 219  0.0   90.0   72.5   4.70  0.165608
2017 219  0.0   95.0   72.5   4.83  0.170174
2017 219  0.0  100.0   72.5   4.96  0.174635
2017 219  0.0  105.0   72.5   5.08  0.178955
2017 219  0.0  110.0   72.5   5.20  0.183128
2017 219  0.0  115.0   72.5   5.32  0.187158
2017 219  0.0  120.0   72.5   5.44  0.191060
2017 219  0.0  125.0   72.5   5.56  0.194850
2017 219  0.0  130.0   72.5   5.67  0.198531
2017 219  0.0  135.0   72.5   5.78  0.202109
2017 219  0.0  140.0   72.5   5.89  0.205582
2017 219  0.0  145.0   72.5   6.00  0.208937
2017 219  0.0  150.0   72.5   6.10  0.212145
2017 219  0.0  155.0   72.5   6.20  0.215200
2017 219  0.0  160.0   72.5   6.29  0.218075
2017 219  0.0  165.0   72.5   6.56  0.220732
2017 219  0.0  170.0   72.5   6.63  0.223143
2017 219  0.0  175.0   72.5   6.70  0.225288
2017 219  0.0  180.0   72.5   6.76  0.227141
2017 219  0.0 -175.0   70.0   6.94  0.235659
2017 219  0.0 -170.0   70.0   6.98  0.236824
